pk,Text
486,"Mighty Earth filed a grievance against Jhonlin Group in October 2018 for deforestation activities. As a result of unsatisfactory progress in grievance engagements and NDPE (No Deforestation, No Peat, No Exploitation) implementation, Cargill stopped indirect sourcing from Jhonlin Group in June 2020. Cargill may consider re-engagement if Jhonlin demonstrates significant progress in addressing the allegations."
487,"A grievance was filed against Korindo on July 26, 2016, by Mighty Earth regarding deforestation. The case status is suspended, and Cargill has taken action by having its direct suppliers suspend the company. Cargill has adopted a no-buy position on Korindo, which is an indirect supplier."
488,"This grievance concerns the Leuser Ecosystem and involves monitoring activities by Cargill. Cargill has requested that their direct suppliers share action plans for Leuser monitoring. The suppliers are addressing risks through multi-stakeholder initiatives such as ""Areal Prioritas Transformasi"" and conducting sustainability workshops to raise awareness."
489,"A grievance was raised against LKPP Corporation Sdn Bhd for deforestation in August 2020. Cargill and other companies held a joint meeting with LKPP to discuss the land clearing and promote NDPE (No Deforestation, No Peat, No Exploitation) policies. LKPP has agreed to implement a group-wide policy from January 2021 and stated that no further land clearing will take place, while discussions continue regarding a recovery plan."
490,"A grievance was filed against Mulia Sawit Group in March 2019 by Mighty Earth for development on peat. The company had already been suspended by Cargill's direct suppliers at the point of engagement, and Cargill has adopted a no-buy position on the company."
491,"Greenpeace raised a grievance against NPC Resources alleging deforestation of peat. Cargill engaged with their direct supplier in February 2018 and implemented a moratorium which is being monitored for compliance. Assessments for NDPE compliance were completed for PT Sumber Alam Selaras in April 2018, and NPC's HCS-HCV report is undergoing peer-review as of May 2019."
492,"A grievance was filed against Palma Serasih in March 2019 by Mighty Earth regarding deforestation concerns. Cargill, as an indirect buyer, raised the issue with their direct supplier AAA, who contacted Palma Serasih. New contracts have been placed on hold pending agreement to High Carbon Stock (HCS) assessment requirements."
493,"This grievance concerns allegations of deforestation in the Leuser Ecosystem by PTPN 1, reported by Rainforest Action Network in May 2019. PTPN 1 claims they were conducting replanting activities in an existing plantation area with HGU permit that was abandoned in 1999 due to civil conflict and only resumed maintenance in 2014. Cargill is engaging with direct suppliers and advocating for an HCSA assessment to determine appropriate steps for the regenerating vegetation."
494,"A grievance was filed on November 1, 2016, against PT Abdi Budi Mulia and PT Sarana Prima Multi Niaga for labor exploitation. Field visits were conducted by direct suppliers in December 2016, and follow-up action plans were established to address the identified gaps. The case is currently under monitoring for the implementation of these action plans."
495,"PT Koperasi Prima Jasa (PT KPJ) was reported for allegedly sourcing from PT Agra Bumi Niaga (PT ABN) where deforestation was occurring. Following the grievance, Cargill sought clarification from Wilmar, who confirmed that PT KPJ is no longer sourcing from PT ABN. Wilmar also verified that its other suppliers are not sourcing from PT ABN."
496,"A grievance was filed against PT Andika Permata Sawit Lestari on August 5, 2016, alleging burning and community intimidation. PT APSL clarified that fires occurred outside their concession on independent farmers' land and denied instigating the incident. After investigation, the case was brought to courts, a suspect was arrested for arson, and Cargill monitored developments through direct suppliers."
497,"This grievance was raised by Rainforest Action Network against PT Bumi Daya Agrotamas for sourcing from deforested areas. Cargill has engaged with direct suppliers for field verification, and Musim Mas completed verification finding that PT BDA had stopped sourcing from PT Laot Bangko since September 2019. PT BDA has committed to stop sourcing from protected areas and is implementing an action plan including developing SOPs for Traceability to Plantation."
498,"The grievance involves allegations of forced labor against PT. Dewa Rencana Perangin Angin in Indonesia, reported by Mongabay in March 2022. Cargill investigated the claims through its direct suppliers and concluded that the company was violating Cargill's Policy on Sustainable Palm Oil. As a result, Cargill suspended PT. Dewa Rencana Perangin Angin from its supply chain effective March 31, 2022."
499,"A grievance was filed in August 2020 by the Rainforest Action Network against PT Dua Perkasa Lestari regarding a community conflict. Cargill, who was indirectly linked to PT DPL through their supplier's third-party mill (PT Beurata Subur Persada), investigated the allegations. After unsatisfactory engagement with PT DPL, GAR suspended PT DPL from its supply chain in October 2020."
500,A grievance was filed against PT Ensem Sawita for sourcing from a deforested area through PT ABN. PT Ensem Sawita claimed they unknowingly sourced from PT ABN due to a company name change and subsequently ceased sourcing from them. The supplier has developed sustainability policies and achieved full traceability to plantation (TTP) as of January 2019.
501,"The grievance involves PT Global Sawit Semesta (PT GSS) sourcing from deforested areas, specifically from suppliers operating in the Leuser Ecosystem. Investigations by Musim Mas and GAR confirmed that PT GSS sourced from CV Buana Indah, PT Laot Bangko, and PT ASDAL in 2019. PT GSS has committed to implementing a time-bound action plan to prevent sourcing FFB from conservation areas, including improving traceability procedures."
502,"Greenpeace filed a grievance against PT Henrison Inti Persada and PT Pusaka Agro Lestari in January 2017 for deforestation. The companies, which are indirect suppliers to Cargill, have been suspended by Cargill's direct suppliers. Cargill has adopted a no-buy position on the companies."
503,"The grievance involves PT Samudera Sawit Nabati (PT SSN) allegedly sourcing from deforested areas, raised by Rainforest Action Network in October 2019. Musim Mas and GAR conducted field verification but found no documented evidence of PT SSN sourcing from CV Buana Indah, though risk remains. PT SSN is now implementing a time-bound NDPE action plan which includes traceability to plantation to prevent sourcing from protected areas."
504,"Cargill received a grievance report from Mighty Earth and Environmental Investigation Agency regarding alleged environmental non-compliance by PT Sawit Sukses Sejati (PT SSS). Cargill investigated the connections to PT SSS through its suppliers, particularly Sumber Tani Agung and PT Rimba Mujur Mahkota. After supplier engagement, PT Rimba Mujur Mahkota banned sourcing from PT SSS effective May 2023, and Cargill closed the case."
505,"This grievance case involves a community land conflict with PT Sintang Raya, reported through internal monitoring on August 2, 2016. The issue was brought to courts, and Cargill monitored developments through direct suppliers. As of July 2019, the supplier is no longer in Cargill's supply chain."
506,"Mighty Earth raised a grievance against Pundi Group in February 2019. The case was reported to Cargill, who identified Pundi Group as an indirect supplier. Direct suppliers had already suspended Pundi Group by the time of engagement, and Cargill adopted a no-buy position on the company."
507,"A grievance was filed against QL Resources in June 2020 regarding deforestation issues. Cargill contacted their direct suppliers who engage with QL Resources. As a result, QL Resources has committed to implementing a moratorium on land clearing and peatland development, acknowledging non-compliant development after December 2015, and creating a recovery plan to resolve these issues."
508,"A grievance was filed by Greenpeace against Rimbunan Hijau in October 2018 regarding deforestation in Malaysia and Papua New Guinea. The supplier has implemented a moratorium as of September 20, 2018, shared concession maps, and committed to No Deforestation, No Peat, No Exploitation (NDPE) policy through Wilmar. Cargill is monitoring the situation as Rimbunan Hijau is an indirect supplier."
509,"Greenpeace filed a grievance against Samling Group for deforestation in Indonesia and Malaysia. Cargill engaged with direct suppliers Wilmar, Sime Darby, and Intercontinental Specialty Fats who sourced from Samling. After unsatisfactory engagement that prevented monitoring of Samling's palm oil operations, Cargill officially suspended Samling Group from their supply chains in May 2020."
510,"Saraswanti Sawit Makmur was reported in a grievance raised by Foresthints in February 2019. The company was suspended by Cargill's direct suppliers at the point of engagement, and Cargill has adopted a no-buy position on the company. The grievance is identified as ISP-58 and involves an indirect supplier relationship."
511,"Rainforest Action Network filed a grievance against Surya Panen Subur II in November 2016 regarding deforestation concerns. As a response, Cargill removed Surya Panen Subur II from its supply chain. Cargill indicated they would discuss with their direct suppliers about the milestones required for SPS II to demonstrate compliance with their policy."
512,"Rainforest Action Network raised a grievance against Syaukath Sejahtera for deforestation issues, particularly related to sourcing from PT Tualang Raya. Cargill has reached out to their direct supplier for investigation and considers PT Tualang Raya a non-compliant plantation. Syaukath Sejahtera has ceased sourcing from PT Tualang Raya and committed to an action plan that includes creating an NDPE Policy, submitting traceability information, and conducting risk assessments."
513,"This grievance involves allegations of sourcing palm oil from the Tesso Nilo national park. Eyes on the Forest reported that several mills were receiving Fresh Fruit Bunches (FFB) from illegal sources within protected areas. Some mills denied the allegations while PT Inti Indosawit Subur acknowledged receiving FFB from illegal sourcing areas through a dealer, who was subsequently suspended."
514,A grievance was filed against PT Teupin Lada for deforestation issues in August 2020. Cargill discovered indirect supply chain connections to PT Teupin Lada and reached out to direct suppliers for investigation. PT Teupin Lada subsequently ceased sourcing from non-compliant plantation PT Indo Alam and achieved 100% traceability to plantation by September 2020.
515,"Greenpeace filed a grievance against TH Plantation for deforestation in September 2016. THP agreed to stop further land-clearing while a review was conducted, and a moratorium was put in place. Wilmar conducted a site visit and developed an action plan to support THP's sustainability practices. When allegations of continued clearing emerged, THP clarified this was due to stacking activities on previously cleared land."
516,"Mighty Earth filed a grievance against Tsani Hutani Abadi in November 2018. The company was suspended by Cargill's direct suppliers at the point of engagement, and Cargill has adopted a no-buy position on the company. The case status is currently suspended."
517,"Greenpeace raised a grievance against Tunas Baru Lampung (TBL) regarding development on peat in January 2017. Cargill engaged with direct suppliers about the allegations, and TBL implemented a moratorium while verifications were ongoing. Eventually, GAR and Wilmar stopped sourcing from TBL, and TBL is no longer in Cargill's supply chain."
518,"The grievance involves allegations of deforestation by PT MIP, reported by Mighty Earth in August 2018. Cargill engaged with direct suppliers and found that a stop work order was implemented, with HCS and HCV assessments completed. PT MIP committed to a peer review of the assessments and promised to only develop areas outside of HCS-HCV identified lands, including for plasma areas requested by local communities."
519,"This grievance involves allegations against YP Plantation for peat development and land prepared for clearing, with concerns that mills in Cargill's supply chain are sourcing FFB from Yayasan Pahang. After the grievance was raised in August 2020, YP Plantation issued a stop work order and later partnered with Global Environment Centre to implement a recovery project to conserve and rehabilitate 4800ha of forested and degraded peatland in the Pekan Forest Reserve."
520,"A grievance was filed against Yayasan Pelajaran Johor in January 2021 for deforestation. Cargill, who has an indirect supplier relationship with the organization, has reached out to their direct suppliers for more information about the alleged land clearing. The direct supplier is currently investigating the allegations."
521,A grievance was raised against PT Prasetya Mitra Muda: NSS Group for alleged deforestation and/or peatland development. The allegation was reported by Mighty Earth in Rapid Response report 45. Hershey is connected to PT NUSANTARA SAWIT PERSADA through Bunge according to their H2-2023 mill list.
522,"A grievance was raised against PT Inti Kabun Sawit (Fangiono family) for alleged deforestation and peatland development as reported by Mighty Earth. Hershey contacted their supplier who indicated PT Inti Kabun Sawit is not in their supply chain but is connected to First Resources via suppliers. Hershey and their supplier continue to monitor the RSPO Complaints Process regarding First Resources, FAP Agri, and Cilinadry Anki Abadi."
523,"A grievance was raised against Serijaya Industri Sdn Bhd (Innoprise Group) alleging deforestation and/or peatland development. The issue was reported by Mighty Earth in Rapid Response report 45. Hershey contacted the supplier, who clarified the entity is actually Yayasan Sabah and that the alert overlaps with riparian and steep areas."
524,"Mighty Earth reported allegations of deforestation and/or peatland development against Mutiara Pelita Genaan Plantation (Double Dynasty Group) in Rapid Response report 45. Hershey contacted their supplier regarding the investigation and discovered the tier 1 supplier had suspended Double Dynasty in 2019. The supplier updated their mill list to accurately reflect mill status, removing Mutiara Pelita Genaan."
525,"Medan Mestika Sdn Bhd was reported by Mighty Earth for alleged deforestation and peatland development. Hershey investigated the grievance, finding the supplier was in their H2-2023 supply chain but not in H1-2024. The supplier claimed the clearance was out of scope as Medan Mestika does not share the same parent company as WTK."
526,"The grievance against PT Kalimantan Hamparan Sawit: ABM Group involves allegations of deforestation and peatland development reported by Mighty Earth. Evidence of deforestation was confirmed in June 2024. Bunge suspended ABM Group due to non-compliance with NDPE (No Deforestation, No Peat, No Exploitation) commitments."
527,PT Banyan Tumbuh Lestari was reported by Mighty Earth for alleged deforestation and peatland development. Hershey's had connections to Provident Group in H1-2023 but no longer shows connections as of H2-2023. Provident Agro indicated they sold palm subsidiaries including PT Banyan Tumbuh Lestari in 2021.
528,"Allegations and concerns were raised about PT Sarana Esa Cita, a Musim Mas subsidiary, regarding imposed HCV/HCS without Free, Prior and Informed Consent. Hershey is monitoring the situation through Musim Mas's grievance log. As of June 2024, Hershey learned of a police investigation into this dispute and encouraged public acknowledgment by Musim Mas through a direct supplier."
529,Allegations of deforestation and peatland development by PT Lahan Agro Inti Ketapang (LAIK) in West Kalimantan were reported by Nustantara Atlas. The supplier may be connected to Hershey's supply chain through mills in their H1-2023 mill list. Hershey is investigating the connection while Bunge reports that LAIK has ceased land clearing and is working toward NDPE commitment.
