Document_Num,Dominant_Topic,Topic_%_Contrib,Topic_Keywords,Text,Is_Outlier,Dom_Topics_Num,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_0_Perc,Topic_1_Perc,Topic_2_Perc,Topic_3_Perc,Topic_4_Perc,Topic_5_Perc
14,4,0.82,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 1 4 carried deforestation bintuni agro prima perkasa guntur madu agrotama kahayan agro plantation mustika agung sentosa according kap likely supplies ffb tantahan panduhup asia owned sumber tani agung stais gar ssupplier mighty earth rapid response 17 indications deforestation tantahan panduhup asi concession central kalimantan total area 70 ha 7 ha clearance preparation stacking lines mar 20 june 29,False,1,0,0,0,0,1,0,0.01,0.08,0.02,0.05,0.82,0.02
15,1,0.48,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",deadly trade greenpeace said ioi continued buy third party suppliers linked environmental destruction exploitation austindo nusantara jaya eagle high plantation rajawali goodhope carson cumberbatch korindo indofood tabung haji plantations,False,2,0,1,0,0,1,0,0.02,0.48,0.08,0.12,0.24,0.05
16,5,0.57,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",rainforest action network raised grievance syaukath sejahtera deforestation issues particularly related sourcing tualang raya cargill reached direct supplier investigation considers tualang raya non compliant plantation syaukath sejahtera ceased sourcing tualang raya committed action plan includes creating ndpe policy submitting traceability information conducting risk assessments,False,1,0,0,0,0,0,1,0.03,0.06,0.06,0.26,0.03,0.57
17,0,0.74,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",early july ahong kong based anti trafficking ngo called liberty shared ls published apetitionagainst sime darby plantation bhd child forced labour petitionfiled us customs border protection agency april ls urged ban imports firm products see petition,False,1,1,0,0,0,0,0,0.74,0.03,0.14,0.02,0.01,0.05
18,0,0.97,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",allegations raised pertaining variety workers rights violations poor working conditions non provisions subsidy non payment social security bpjs poor safety conditions workers health unreasonable working hours amongst others several workers arrested police protesting pertaining rights,False,1,1,0,0,0,0,0,0.97,0.0,0.01,0.0,0.0,0.01
19,3,0.97,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",allegations deforestation peatland development leuser ecosystem raised laot bangko reportedly supplying conflict bumi daya agrotamas multiple including fuji cargill hershey took action response grievance hershey suspended laot bangko june initially supporting engagement earthworm foundation landscape program,False,1,0,0,0,1,0,0,0.0,0.01,0.0,0.97,0.01,0.01
20,2,0.45,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",glp yet fulfill commitment allocate plasma land,False,2,0,0,1,0,0,1,0.1,0.12,0.45,0.08,0.03,0.22
21,4,0.82,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 34 november may 2021 total 34 hectares forest cleared brahma binabakti concession,False,1,0,0,0,0,1,0,0.01,0.07,0.03,0.05,0.82,0.02
22,5,0.88,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance involves allegations deforestation mip mighty earth august 2018 cargill engaged direct suppliers found stop work order implemented hcs hcv assessments completed mip committed peer review assessments promised develop areas outside hcs hcv identified lands including plasma areas requested local communities,False,1,0,0,0,0,0,1,0.02,0.02,0.03,0.04,0.01,0.88
23,3,0.94,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",grievance filed ensem sawita sourcing deforested area abn ensem sawita claimed unknowingly sourced abn due name change subsequently ceased sourcing supplier developed sustainability policies achieved full traceability plantation ttp january,False,1,0,0,0,1,0,0,0.0,0.01,0.01,0.94,0.01,0.03
24,3,0.36,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",issued chain reaction informed fact fgv kalimantans concession cleared 1600 ha peat forest 25april 2017 secretariat meeting fgv claimed planted less 100 ha shallow depth,False,2,0,0,0,1,1,0,0.03,0.13,0.06,0.36,0.35,0.07
25,1,0.7,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",dischargedimmense quantities toxic chemicals hazardous waste impacted nearby mangrove ecosytem manchn guamuchal nature reserve local marine species issue raised health concerns local communities rely water source water food supply e g fish shellfish etc may poisoned toxic waste,False,1,0,1,0,0,0,0,0.03,0.7,0.13,0.04,0.06,0.03
26,3,0.87,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",grievance kalimantan hamparan sawit abm involves allegations deforestation peatland development mighty earth evidence deforestation confirmed june 2024 bunge suspended abm due non compliance ndpe deforestation peat exploitation commitments,False,1,0,0,0,1,0,0,0.01,0.03,0.02,0.87,0.02,0.05
27,5,0.6,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",greenpeace filed grievance djarum february 2018 deforestation land clearing activities cargill engaged direct supplier allegations supplier committed deforestation peat exploitation ndpe policies moratorium placed gemilang sawit kencana pending completion required assessments,False,1,0,0,0,0,0,1,0.03,0.04,0.05,0.25,0.02,0.6
28,3,0.63,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",agro muara rupit faced allegations deforestation peatland development hershey contacted multiple direct suppliers including aak bunge cargill fuji wilmar investigate grievance bunge closed case based amr following annex 5 procedures indicating hcs areas cleared supplier hcv assessment ultimately deemed satisfactory,False,1,0,0,0,1,0,0,0.03,0.06,0.05,0.63,0.03,0.21
29,1,0.5,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",high risk rainforest published milieudefensie friends earth netherlands friends earth usa sustainable development institute alleging gvl golden veroleum liberia alleging failure reform behaviour human rights violations environmental degradation disregard communities land rights,False,2,0,1,1,0,0,0,0.04,0.5,0.35,0.04,0.04,0.04
30,4,0.96,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 21 indications 79 ha deforestation feb 25 sep 6,False,1,0,0,0,0,1,0,0.0,0.01,0.01,0.01,0.96,0.0
31,5,0.93,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance filed august instant star holdings sdn bhd regarding deforestation complaint aspirasi kristal plantations deforestation issues mills cargill supply chain sourcing fresh fruit bunches ffb aspirasi kristal cargill currently investigating allegations suppliers,False,1,0,0,0,0,0,1,0.02,0.01,0.02,0.02,0.0,0.93
32,5,0.91,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",greenpeace cargill internal monitoring deforestation dtk opportunity february cargill engaged direct supplier regarding land clearing allegations lahan agro inti ketapang land clearing ceased laik cargill identified potential clearing dtk permata lestari jaya leading dtk implementing moratorium new land clearing september,False,1,0,0,0,0,0,1,0.01,0.01,0.02,0.04,0.01,0.91
33,5,0.88,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",koperasi prima jasa kpj sourcing agra bumi niaga abn deforestation occurring following grievance cargill sought clarification wilmar confirmed kpj longer sourcing abn wilmar verified suppliers sourcing abn,False,1,0,0,0,0,0,1,0.02,0.02,0.02,0.05,0.01,0.88
34,4,0.86,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",sustainability risk analysis agency chain reaction research mongabay claim capitol responsible deforestation papua controlled widjaja family specifically jimmy widjaja chain reaction research notes however official documentation relationship capitol gar exists gar publicly list capitol one subsidiaries,False,1,0,0,0,0,1,0,0.01,0.06,0.02,0.04,0.86,0.01
35,3,0.86,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",mighty earth allegations deforestation peatland development usaha sawit unggul rapid response 39 hershey contacted suppliers investigate connections accused finding sawit sukses sejati longer consistently supplying sumber tani agung building mill multiple suppliers ceased sourcing implicated aak confirmed entities longer supply chain following ownership investigation,False,1,0,0,0,1,0,0,0.01,0.04,0.02,0.86,0.03,0.04
36,4,0.66,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",deforestation rendi permata raya linked suppliers mitra bumi sumber alam makmur,False,1,0,0,0,0,1,0,0.02,0.14,0.04,0.11,0.66,0.04
37,3,0.58,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",grievance raised pkps clearing peat swamp forest malaysia environmental impact assessment hershey issued buy order pkps engaged suppliers address issue pkps later denied plans develop cleared land claiming part rural farming project ceased development fulfill eia requirements,False,1,0,0,0,1,0,0,0.03,0.05,0.05,0.58,0.03,0.27
38,1,0.78,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",eia greenpeace submitted letter board members representing financial institution drawing attention immediate risk clearance large areas primary forests papua pusaka agro lestari subsidiary noble plantation pte ltd letter hcv assessment conducted nyoto santoso bogor agricultural university npp submissionwas flawed stated primary forests proposed location despite mapping indonesian ministry forestry showing mainly primary forests primary swamp forests letter added eia greenpeace aidenvironment yayasan iar indonesia submitted joint complaint hcvrnabout nyoto santoso,False,1,0,1,0,0,0,0,0.02,0.78,0.11,0.04,0.02,0.03
39,4,0.57,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 6 committing deforestation linked gar supply chain rayatama jaya sumur pandanwangi mulia inti perkasa prasetya mitra muda krida dharma kahuripan,False,1,0,0,0,0,1,0,0.02,0.22,0.05,0.1,0.57,0.04
40,5,0.78,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance case involves land conflict sintang raya internal monitoring august 2 2016 issue brought courts cargill monitored developments direct suppliers july supplier longer cargill supply chain,False,1,0,0,0,0,0,1,0.07,0.03,0.05,0.05,0.01,0.78
41,2,0.33,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",grievance involves karangjuang hijau lestari khl bulungan hijau perkasa bhp subsidiaries fap agri plantation north kalimantan indonesia accused intimidation land seizure impacting land rights local authorities facilitated discussions communities regarding allegations end 2023 ongoing tracking actions direct suppliers,False,2,1,0,1,0,0,0,0.28,0.08,0.33,0.06,0.02,0.23
42,5,0.83,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance involves deforestation allegations bewani palms png associated prosper malaysia cargill initially suspended commercial relationship prosper due links extensive deforestation however cargill later resumed business prosper committed adopting ndpe sustainable policy initiating recovery plan north selangor peat swamp forest making time bound remediation plan compensate past deforestation,False,1,0,0,0,0,0,1,0.02,0.02,0.03,0.09,0.01,0.83
43,2,0.73,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",bidco uganda limited joint venture wilmar 48 stake,False,1,0,0,1,0,0,0,0.1,0.06,0.73,0.03,0.01,0.07
44,3,0.68,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",allegations forest clearance impact biodiversity leuser ecosystem,False,1,0,0,0,1,0,0,0.02,0.07,0.04,0.68,0.11,0.07
45,0,0.68,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",tpols stated transnational labour solidarity tpols received reports violations basic labour rights plantations based reports union members found number similarities employment practices violate human rights standards among transnational corporations practice contradicts called sustainability policies claimed mdash members two estate jaya mandiri sukses suryabumi tunggal perkasa eagle high plantation later mongabay issue,False,1,1,0,0,0,0,0,0.68,0.04,0.17,0.03,0.01,0.06
46,5,0.93,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance raised mighty earth incasi raya deforestation january cargill engaged direct suppliers learned moratorium place incasi raya ceased clearing since march cleared area planted cover crop planting carried area,False,1,0,0,0,0,0,1,0.01,0.01,0.01,0.03,0.0,0.93
47,5,0.96,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance filed palma serasih march mighty earth regarding deforestation concerns cargill indirect buyer raised issue direct supplier aaa contacted palma serasih new contracts placed hold pending agreement high carbon stock hcs assessment requirements,False,1,0,0,0,0,0,1,0.01,0.01,0.01,0.02,0.0,0.96
48,1,0.66,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",allegations deforestation caused floods sima village irregularities including development environmental impact assessment land grabbing destroying sacred place dusun sagu indigenous people yerisiam failure following proper fpic process excessive use force violence using state security forces,False,1,0,1,0,0,0,0,0.03,0.66,0.18,0.04,0.05,0.04
49,3,0.51,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",grievance raised syaukath sejahtera purchasing ffb tualang raya cleared 269 hectares forest since january 2018 syaukath sejahtera stopped purchasing tualang raya september committed sourcing ffb areas free deforestation peatland development fires tualang raya later committed stop land clearing adopt deforestation policy protect remaining forests,False,1,0,0,0,1,0,0,0.03,0.08,0.07,0.51,0.04,0.27
50,3,0.95,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",allegations deforestation peatland development leuser ecosystem suppliers indo alam indo sawit perkasa multiple mills identified risk buying suppliers hershey placed buy orders suppliers june suspended laot bangko supporting engagement earthworm foundation landscape program,False,1,0,0,0,1,0,0,0.0,0.01,0.01,0.95,0.01,0.01
51,2,0.36,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",grievance involves land conflict dispute bukit barisan indah prima bbip indonesia security incident resulted fatality ap part bbip engaged land dispute local village following incident operations disputed area suspended third party assessment conducted found ap fulfilled legal requirements land use security officer involved ruled acted self defense sentenced actions leading fatality,False,2,1,0,1,0,0,0,0.26,0.08,0.36,0.06,0.02,0.21
52,4,0.94,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 26 indications 140 ha deforestation 247 ha clearance preparation tanjung buyu perkasa concession sep 15 feb 7,False,1,0,0,0,0,1,0,0.0,0.02,0.01,0.02,0.94,0.01
53,5,0.54,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance raised july regarding land rights issues involving inti nusa sejahtera mas case involves land conflict indirect supplier cargill aware mas part complaints system sime darby divested mas february cargill engaging direct suppliers resolution process new owners,False,1,0,0,0,0,0,1,0.2,0.05,0.11,0.07,0.02,0.54
54,3,0.62,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",aak accused sourcing tesso nilo nature reserve indonesia deforestation occurred aak proactively informed hershey allegations engaged suppliers linked mills question case initially closed may 2021 reopened june 2023 following mongabay article reporting increased deforestation reserve,False,1,0,0,0,1,0,0,0.03,0.12,0.07,0.62,0.05,0.12
55,0,0.86,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",unauthorised regulation flat rate overtime premium copy collective bargaining agreement furnished workers workers working night shift provided extra food inadequate unsanitary worker’s housing daily casual workers provided written employment agreement daily casual workers provided employment security bpjs ketenagakerjaan card complicated healthcare insurance bpjs kesehatan paid sick day processes unfair dismissal termination unjustified reason participating union activities limitation worker’s right organize outside established independent non affiliated trade union,False,1,1,0,0,0,0,0,0.86,0.02,0.05,0.02,0.01,0.04
56,4,0.96,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",deforestation medco papua hijau selaras subsidiary capitol,False,1,0,0,0,0,1,0,0.0,0.02,0.0,0.01,0.96,0.0
57,3,0.44,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",eof issued alleging number sourced ffb tesso nilo national park bukit tigapuluh national park bukit betabuh tiger corridor,False,2,0,0,0,1,0,1,0.06,0.07,0.07,0.44,0.06,0.3
58,1,0.45,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",failure carry corporate social responsibility regard empowerment building sustainable partnership,False,2,0,1,1,0,0,0,0.03,0.45,0.38,0.05,0.03,0.05
59,5,0.85,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",everbright resources cooperations deforestation mighty earth march already suspended cargill direct suppliers grievance raised cargill adopted buy position,False,1,0,0,0,0,0,1,0.03,0.02,0.03,0.06,0.01,0.85
60,2,0.86,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",allegation expansion land approximately 150 ha destruction local farm owned kelompok tani penghijauan tingang menteng deny compensation,False,1,0,0,1,0,0,0,0.04,0.05,0.86,0.02,0.01,0.02
61,1,0.61,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",media article gar supplier bahari gembira ria bgr high incidents fires based global forest watch info,False,1,0,1,0,0,0,0,0.02,0.61,0.09,0.06,0.17,0.04
62,5,0.97,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance involves deforestation allegations austindo nusantara jaya anj cargill initially suspended anj supply chain october 2016 following remediation efforts anj including implementing moratorium new clearing developing ndpe procedures demonstrating progress monitoring reporting cargill lifted suspension february 2022,False,1,0,0,0,0,0,1,0.01,0.0,0.01,0.01,0.0,0.97
63,4,1.0,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",ran published investigation problem deforestation beyond outside known concessions occurring within district aceh tamiang priority landscape singkil bengkung trumon region rawa singkil wildlife reserve,False,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
64,4,0.95,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth rapid response 20 indications deforestation putra utama lestari area 1 ha 20 may 24 sep area 2 2 ha 7 may 11 sep,False,1,0,0,0,0,1,0,0.0,0.02,0.01,0.01,0.95,0.01
65,4,0.84,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",mighty earth september 7 november 13 total 17 hectares forest cleared tirta madu sawit jaya concession,False,1,0,0,0,0,1,0,0.01,0.06,0.02,0.04,0.84,0.02
66,3,0.56,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",1 sourcing ffb unsustainable origin 2 failure conduct sia,False,1,0,0,0,1,0,0,0.04,0.07,0.06,0.56,0.07,0.19
67,5,0.6,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",condeg filed grievance accusing industrias chiqibul labor rights violations guatemala cargill requested clarifications chiqibul followed evidence verification attempting work chiqibul identify third parties verification develop action plan cargill ultimately suspended business guatemalan supplier effective march 1,False,1,0,0,0,0,0,1,0.18,0.05,0.09,0.07,0.02,0.6
68,3,0.46,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",grievance central cipta murdaya hardaya inti plantations deforestation peatland development noting lack ndpe policy hershey notified suppliers identify position grievance confirm sourcing relationships direct suppliers indicated hip committed moratorium land clearing 2017 engaged aidenvironment developing capacity comply ndpe requirements june 2022 supplier undertaking hcv hcsa assessment working aidenvironment sustainability policy ndpe sops,False,2,0,0,0,1,0,1,0.03,0.06,0.05,0.46,0.03,0.37
69,1,0.68,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",local media ketapang district police investigating 4 suspected burning clear land including cipta usaha sejati,False,1,0,1,0,0,0,0,0.02,0.68,0.09,0.05,0.12,0.03
70,2,0.69,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",1 land acquired planted agropama obtained fraudulent means 2 last july iterpa local autarchy jurisdiction state par officially informed almost landoccupiedby agropalma fact owed sate par land title registered name information directed court acar small city state par complainants agropalma dispute land rights iterpa informed agropalma settled complainants land state federal land 3 agropalma legally owna single hectare claim certification granted,False,1,0,0,1,0,0,0,0.07,0.13,0.69,0.03,0.03,0.05
71,3,0.58,"hershey, peatland, deforestation, development, suppliers, supplier, grievance, mighty, earth, forest",acquired ffb using restrictive competition practices affects smallholders omitted antitrust guidelines,False,1,0,0,0,1,0,0,0.04,0.06,0.05,0.58,0.06,0.21
72,0,0.96,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",grievance concerns exploitation workers felda global ventures fgv malaysia following investigation us customs border protection cbp found numerous labor abuses including forced labor indicators withhold release order imposed banning fgv products us fgv since commissioned assessments launched remediation process workers relating recruitment fees,False,1,1,0,0,0,0,0,0.96,0.01,0.02,0.0,0.0,0.01
73,2,0.88,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",desa pergulaan disputing legitimacy land acquisition lonsum desa pergulaan failed comply national laws indonesia carrying land acquisition therefore fpic process flawed questioning validity hgu extension granted government acknowledged complaint engaged bilateral negotiations complainants since early 2013 view addressing outstanding issues 23 july 2013 parties informed principle reached agreement settle dispute bilateral talks start 2014 elections endorsed,False,1,0,0,1,0,0,0,0.04,0.03,0.88,0.01,0.01,0.03
74,5,0.78,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance filed june 12 permata hijau non compliant sourcing kallista alam grievance rainforest action network prior cargill permata already aligned prioritizing engagement permata aceh suppliers case currently monitoring implementation,False,1,0,0,0,0,0,1,0.07,0.03,0.05,0.05,0.01,0.78
75,5,0.94,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance filed korindo july 26 2016 mighty earth regarding deforestation case status suspended cargill taken action direct suppliers suspend cargill adopted buy position korindo indirect supplier,False,1,0,0,0,0,0,1,0.01,0.01,0.01,0.02,0.0,0.94
76,1,0.56,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",ran indo sawit perkasa isp caught destroying lowland rainforest singkil bengkung area,False,1,0,1,0,0,0,0,0.02,0.56,0.07,0.08,0.23,0.04
77,1,0.71,"area, forest, plantation, mill, land, river, plantations, 2013, gar, principle",planted trees outside hgu respondents planted trees edge river resulted damage watershed never watered road traversed ffb cpo transport trucks affected health two villages due dust mills chimney emits black smoke causes air pollution polluting river water surrounding settlement caused liquid waste mills provide proper social assistance local,False,1,0,1,0,0,0,0,0.03,0.71,0.12,0.04,0.07,0.03
78,5,0.82,"cargill, grievance, direct, deforestation, supplier, filed, allegations, suppliers, sourcing, raised",grievance filed august rainforest action network dua perkasa lestari regarding conflict cargill indirectly linked dpl supplier third party mill beurata subur persada investigated allegations unsatisfactory engagement dpl gar suspended dpl supply chain october,False,1,0,0,0,0,0,1,0.06,0.02,0.04,0.04,0.01,0.82
79,2,0.4,"land, communities, plasma, local, rights, hcv, process, complaint, plantation, dispute",grievance filed gar sulaidy pp london sumatra indonesia salim ivomas pratama failing meet plasma commitments resulting 330 million loss revenue communities causing civil unrest case based reports bbc mongabay gecko project highlighting 155 failing fulfill plasma obligations indonesia government audit 2023 confirmed plasma endemic issue,False,2,0,0,1,0,0,1,0.11,0.11,0.4,0.09,0.03,0.26
80,4,0.91,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",end 2021 gar internal monitoring detected indications deforestation inside anugerah langkat makmur concession according analysis around 56 ha potential forest cleared q4 2021 alone along lines march 2022 chainreaction research alm deforestation indicationsin titled chain deforestation driven falls four year low subsequently rapid response 39 may 2022 mighty earth revealed concession handed alm sss alm supplier gar sss,False,1,0,0,0,0,1,0,0.01,0.03,0.01,0.03,0.91,0.01
81,0,0.89,"workers, labour, rights, union, labor, employment, members, forced, working, conditions",50 workers unjustifiably dismissed,False,1,1,0,0,0,0,0,0.89,0.02,0.04,0.01,0.01,0.04
82,4,0.35,"deforestation, rapid, earth, mighty, response, concession, ha, gar, indications, cleared",chain reaction research published main southeast asian deforesters supplying ndpe market stated indonesian peputra includes affiliated late sinmardi taman family two subsidiaries peputra supra jaya peputra masterindo jointly owned singaporean heeton investment pte ltd operates two plantations two mills riau sumatra sinmardi taman family owns marita makmur jaya developed 1 000 ha forest peat peat forest riau mmj gar supplier however source psj mj,False,2,0,0,0,1,1,0,0.03,0.22,0.07,0.27,0.35,0.07
